Sacred Foundry,Thraben Charm,Ocelot Pride,Dalkovan Encampment,"Ragavan, Nimble Pilferer",The Legend of Roku,Goblin Bombardment,Arena of Glory,"Ajani, Nacatl Pariah",Marsh Flats,Seasoned Pyromancer,Plains,"Phlage, Titan of Fire's Fury",Flooded Strand,Galvanic Discharge,Guide of Souls,Voice of Victory,Arid Mesa,Elegant Parlor,Mountain,Blood Moon
0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0
0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0
1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1
0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0
1,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,1,0,0
1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0
0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0
0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0
0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0
0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0
1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0
0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0
0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0
0,2,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0
1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,1,0,0,0
0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0
0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0
0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0
0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0
0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0
0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0
0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,0,1
0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1
1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0
0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0
0,0,1,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,1,0,0,0
0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1
0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
2,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0
0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0
0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0
0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0
0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,1,0
2,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1
0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0
0,1,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,1,0,0
0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0
1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0
0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,2,0,0,0
0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0
0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0
1,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,0,0,0,0,0,0
1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0
1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0
